Installed Packages
NetworkManager.riscv64             1:1.36.0-0.11.an8    @koji-an8f36-build-12516
NetworkManager-libnm.riscv64       1:1.36.0-0.11.an8    @koji-an8f36-build-12516
alsa-sof-firmware.noarch           2.0-3.an8            @koji-an8f36-build-12516
alternatives.riscv64               1.19-2.an8           @koji-an8f36-build-12516
anolis-gpg-keys.noarch             8.5-1.an8            @koji-an8f36-build-12516
anolis-release.riscv64             8.5-1.an8            @koji-an8f36-build-12516
anolis-repos.riscv64               8.5-1.an8            @koji-an8f36-build-12516
atmel-firmware.noarch              1.3-26.an8           @koji-an8f36-build-12516
audit.riscv64                      3.0.7-3.an8          @koji-an8f36-build-12516
audit-libs.riscv64                 3.0.7-3.an8          @koji-an8f36-build-12516
authselect.riscv64                 1.3.0-10.an8         @koji-an8f36-build-12516
authselect-libs.riscv64            1.3.0-10.an8         @koji-an8f36-build-12516
b43-fwcutter.riscv64               019-21.an8           @koji-an8f36-build-12516
b43-openfwwf.noarch                5.2-28.an8           @koji-an8f36-build-12516
basesystem.noarch                  11-13.an8            @koji-an8f36-build-12516
bash.riscv64                       5.1.16-2.an8         @koji-an8f36-build-12516
bzip2-libs.riscv64                 1.0.8-11.an8         @koji-an8f36-build-12516
c-ares.riscv64                     1.17.2-2.an8         @koji-an8f36-build-12516
ca-certificates.noarch             2021.2.52-3.an8      @koji-an8f36-build-12516
chkconfig.riscv64                  1.19-2.an8           @koji-an8f36-build-12516
chrony.riscv64                     4.2-5.an8            @koji-an8f36-build-12516
coreutils.riscv64                  9.0-3.an8            @koji-an8f36-build-12516
coreutils-common.riscv64           9.0-3.an8            @koji-an8f36-build-12516
cpio.riscv64                       2.13-12.an8          @koji-an8f36-build-12516
cracklib.riscv64                   2.9.6-28.an8         @koji-an8f36-build-12516
cracklib-dicts.riscv64             2.9.6-28.an8         @koji-an8f36-build-12516
crypto-policies.noarch             20220314-1.an8       @koji-an8f36-build-12516
cryptsetup-libs.riscv64            2.4.3-2.an8          @koji-an8f36-build-12516
curl.riscv64                       7.81.0-2.an8         @koji-an8f36-build-12516
cyrus-sasl-lib.riscv64             2.1.27-17.an8        @koji-an8f36-build-12516
dbus.riscv64                       1:1.14.0-1.an8       @koji-an8f36-build-12516
dbus-broker.riscv64                29-5.an8             @koji-an8f36-build-12516
dbus-common.noarch                 1:1.14.0-1.an8       @koji-an8f36-build-12516
dbus-libs.riscv64                  1:1.14.0-1.an8       @koji-an8f36-build-12516
deltarpm.riscv64                   3.6.2-11.an8         @koji-an8f36-build-12516
device-mapper.riscv64              8:1.02.175-7.an8     @koji-an8f36-build-12516
device-mapper-libs.riscv64         8:1.02.175-7.an8     @koji-an8f36-build-12516
dhcp-client.riscv64                12:4.4.2-18.P1.an8   @koji-an8f36-build-12516
dhcp-common.noarch                 12:4.4.2-18.P1.an8   @koji-an8f36-build-12516
diffutils.riscv64                  3.8-2.an8            @koji-an8f36-build-12516
dnf.noarch                         4.10.0-2.an8         @koji-an8f36-build-12516
dnf-data.noarch                    4.10.0-2.an8         @koji-an8f36-build-12516
dnf-plugins-core.noarch            4.0.24-2.an8         @koji-an8f36-build-12516
dracut.riscv64                     055-8.an8.1          @koji-an8f36-build-12516
dtc.riscv64                        1.6.1-3.an8          @koji-an8f36-build-12516
e2fsprogs.riscv64                  1.46.5-2.an8         @koji-an8f36-build-12516
e2fsprogs-libs.riscv64             1.46.5-2.an8         @koji-an8f36-build-12516
elfutils-debuginfod-client.riscv64 0.186-2.an8          @koji-an8f36-build-12516
elfutils-default-yama-scope.noarch 0.186-2.an8          @koji-an8f36-build-12516
elfutils-libelf.riscv64            0.186-2.an8          @koji-an8f36-build-12516
elfutils-libs.riscv64              0.186-2.an8          @koji-an8f36-build-12516
expat.riscv64                      2.4.4-1.an8          @koji-an8f36-build-12516
extlinux-bootloader.riscv64        1.2-15.0.riscv64.an8 @koji-an8f36-build-12516
file-libs.riscv64                  5.41-4.an8           @koji-an8f36-build-12516
filesystem.riscv64                 3.16-2.an8           @koji-an8f36-build-12516
findutils.riscv64                  1:4.9.0-1.an8        @koji-an8f36-build-12516
firewalld.noarch                   1.0.1-3.an8          @koji-an8f36-build-12516
firewalld-filesystem.noarch        1.0.1-3.an8          @koji-an8f36-build-12516
fuse-libs.riscv64                  2.9.9-14.an8         @koji-an8f36-build-12516
gawk.riscv64                       5.1.1-2.an8          @koji-an8f36-build-12516
gawk-all-langpacks.riscv64         5.1.1-2.an8          @koji-an8f36-build-12516
gdbm-libs.riscv64                  1:1.22-2.an8         @koji-an8f36-build-12516
geolite2-city.noarch               20191217-6.an8       @koji-an8f36-build-12516
geolite2-country.noarch            20191217-6.an8       @koji-an8f36-build-12516
glib2.riscv64                      2.71.2-1.an8         @koji-an8f36-build-12516
glibc.riscv64                      2.35-2.an8           @koji-an8f36-build-12516
glibc-common.riscv64               2.35-2.an8           @koji-an8f36-build-12516
glibc-gconv-extra.riscv64          2.35-2.an8           @koji-an8f36-build-12516
glibc-langpack-en.riscv64          2.35-2.an8           @koji-an8f36-build-12516
gmp.riscv64                        1:6.2.1-2.an8        @koji-an8f36-build-12516
gnupg2.riscv64                     2.3.4-2.an8          @koji-an8f36-build-12516
gnupg2-smime.riscv64               2.3.4-2.an8          @koji-an8f36-build-12516
gnutls.riscv64                     3.7.3-2.an8          @koji-an8f36-build-12516
gobject-introspection.riscv64      1.70.0-3.an8         @koji-an8f36-build-12516
gpgme.riscv64                      1.16.0-1.an8         @koji-an8f36-build-12516
grep.riscv64                       3.7-2.an8            @koji-an8f36-build-12516
groff-base.riscv64                 1.22.4-9.an8         @koji-an8f36-build-12516
grubby-deprecated.riscv64          8.40-57.an8          @koji-an8f36-build-12516
gzip.riscv64                       1.11-2.an8           @koji-an8f36-build-12516
hostname.riscv64                   3.23-6.an8           @koji-an8f36-build-12516
ima-evm-utils.riscv64              1.4-5.an8            @koji-an8f36-build-12516
initscripts.riscv64                10.15-1.an8          @koji-an8f36-build-12516
initscripts-service.noarch         10.15-1.an8          @koji-an8f36-build-12516
ipcalc.riscv64                     1.0.1-3.an8          @koji-an8f36-build-12516
iproute.riscv64                    5.15.0-2.an8         @koji-an8f36-build-12516
ipset.riscv64                      7.15-2.an8           @koji-an8f36-build-12516
ipset-libs.riscv64                 7.15-2.an8           @koji-an8f36-build-12516
iptables-libs.riscv64              1.8.7-15.an8         @koji-an8f36-build-12516
iptables-nft.riscv64               1.8.7-15.an8         @koji-an8f36-build-12516
iputils.riscv64                    20211215-2.an8       @koji-an8f36-build-12516
jansson.riscv64                    2.13.1-4.an8         @koji-an8f36-build-12516
json-c.riscv64                     0.15-3.an8           @koji-an8f36-build-12516
json-glib.riscv64                  1.6.6-2.an8          @koji-an8f36-build-12516
kbd.riscv64                        2.4.0-9.an8          @koji-an8f36-build-12516
kbd-misc.noarch                    2.4.0-9.an8          @koji-an8f36-build-12516
kernel.riscv64                     5.14.18-100.2.riscv64.an8
                                                        @koji-an8f36-build-12516
kernel-core.riscv64                5.14.18-100.2.riscv64.an8
                                                        @koji-an8f36-build-12516
kernel-modules.riscv64             5.14.18-100.2.riscv64.an8
                                                        @koji-an8f36-build-12516
keyutils-libs.riscv64              1.6.1-4.an8          @koji-an8f36-build-12516
kmod.riscv64                       29-7.an8             @koji-an8f36-build-12516
kmod-libs.riscv64                  29-7.an8             @koji-an8f36-build-12516
kpartx.riscv64                     0.8.7-8.an8          @koji-an8f36-build-12516
krb5-libs.riscv64                  1.19.2-3.an8         @koji-an8f36-build-12516
less.riscv64                       590-3.an8            @koji-an8f36-build-12516
libacl.riscv64                     2.3.1-3.an8          @koji-an8f36-build-12516
libarchive.riscv64                 3.5.2-5.an8          @koji-an8f36-build-12516
libargon2.riscv64                  20171227-8.an8       @koji-an8f36-build-12516
libassuan.riscv64                  2.5.5-4.an8          @koji-an8f36-build-12516
libatomic.riscv64                  12.0.1-0.8.1.an8     @koji-an8f36-build-12516
libattr.riscv64                    2.5.1-4.an8          @koji-an8f36-build-12516
libbasicobjects.riscv64            0.1.1-50.an8         @koji-an8f36-build-12516
libblkid.riscv64                   2.38-0.3.an8         @koji-an8f36-build-12516
libbpf.riscv64                     2:0.5.0-2.an8        @koji-an8f36-build-12516
libbrotli.riscv64                  1.0.9-7.an8          @koji-an8f36-build-12516
libcap.riscv64                     2.48-4.an8           @koji-an8f36-build-12516
libcap-ng.riscv64                  0.8.2-9.an8          @koji-an8f36-build-12516
libcap-ng-python3.riscv64          0.8.2-9.an8          @koji-an8f36-build-12516
libcbor.riscv64                    0.7.0-5.an8          @koji-an8f36-build-12516
libcollection.riscv64              0.7.0-50.an8         @koji-an8f36-build-12516
libcom_err.riscv64                 1.46.5-2.an8         @koji-an8f36-build-12516
libcomps.riscv64                   0.1.18-2.an8         @koji-an8f36-build-12516
libcurl.riscv64                    7.81.0-2.an8         @koji-an8f36-build-12516
libdb.riscv64                      5.3.28-51.an8        @koji-an8f36-build-12516
libdhash.riscv64                   0.5.0-50.an8         @koji-an8f36-build-12516
libdnf.riscv64                     0.65.0-2.an8         @koji-an8f36-build-12516
libeconf.riscv64                   0.4.0-3.an8          @koji-an8f36-build-12516
libedit.riscv64                    3.1-41.20210910cvs.an8
